ugrhi,macro_land_use,measurement_points,ph,do,bod,tc,tn,tp,ts,turb,temp,wqi,classification
5,industrial,CPIV02200,6.6,2.0,5,110000,4.27,0.419,277,96,23.0,29,bad
5,industrial,CPIV02200,6.9,0.8,36,900000,7.24,1.16,669,210,23.0,14,very_bad
5,industrial,CPIV02200,7.1,2.0,14,110000,6.35,0.455,261,72,22.0,27,bad
5,industrial,CPIV02200,7.4,0.6,16,210000,13.62,1.25,272,46,16.0,20,bad
5,industrial,CPIV02200,7.0,0.8,24,1700000,24.82,3.2,559,60,22.0,16,very_bad
5,industrial,CPIV02200,6.9,2.0,12,500000,7.0,0.589,429,175,23.0,23,bad
5,industrial,CPIV02200,6.6,1.6,3,70000,4.37,0.358,358,92,25.0,31,bad
5,industrial,CPIV02200,7.1,1.8,10,50000,8.63,0.388,274,54,22.0,30,bad
5,industrial,CPIV02200,6.9,1.8,7,80000,5.57,0.473,176,23,18.0,33,bad
5,industrial,CPIV02200,7.1,1.8,8,5000,4.65,0.528,186,32,19.0,37,medium
5,industrial,CPIV02200,6.9,0.6,36,500000,7.37,2.02,1286,150,20.0,13,very_bad
5,industrial,CPIV02200,6.7,0.7,16,230000,7.82,0.521,221,32,22.0,24,bad
5,industrial,CPIV02200,6.5,5.6,5,280000,1.78,0.396,569,230,23.0,33,bad
5,industrial,CPIV02200,7.1,3.3,10,500000,3.87,0.455,207,35,25.0,34,bad
5,industrial,CPIV02200,7.1,0.8,15,500000,7.09,0.69,215,43,18.0,23,bad
5,industrial,CPIV02200,7.3,1.6,19,300000,7.19,0.99,213,35,17.0,24,bad
5,industrial,CPIV02200,7.2,6.6,11,50000,3.15,0.728,490,200,16.0,32,bad
5,industrial,CPIV02200,7.2,0.5,20,500000,11.06,0.986,205,30,21.0,20,bad
5,industrial,CPIV02200,7.0,6.4,13,130000,3.35,0.343,484,93,24.0,35,bad
5,industrial,CPIV02200,7.2,3.1,4,130000,5.71,0.455,205,35,24.1,35,bad
5,industrial,CPIV02200,7.2,1.7,7,30000,7.78,0.467,174,31,23.2,33,bad
5,industrial,CPIV02200,7.9,1.3,26,1300000,9.66,1.21,302,99,20.0,19,very_bad
5,industrial,CPIV02200,7.2,1.4,13,30000,8.56,0.581,249,51,21.0,28,bad
5,industrial,CPIV02200,7.1,0.6,19,130000,14.09,1.026,277,43,28.0,20,bad
5,industrial,CPIV02200,7.1,1.3,7,80000,6.02,0.546,259,84,26.0,28,bad
5,industrial,CPIV02200,6.8,3.0,5,70000,2.56,0.388,388,250,23.0,30,bad
5,industrial,CPIV02200,7.2,2.7,6,13000,5.47,0.422,173,33,19.0,39,medium
5,industrial,CPIV02200,7.0,0.5,4,230000,7.87,0.618,195,34,20.0,26,bad
5,industrial,CPIV02200,6.9,2.3,8,70000,6.87,0.701,260,110,20.0,33,bad
5,industrial,CPIV02200,6.7,1.5,4,23000,8.24,0.29,272,48,24.0,33,bad
5,industrial,CPIV02200,7.1,3.2,8,30000,2.53,0.48,428,170,25.0,31,bad
5,industrial,CPIV02200,7.2,1.6,10,500000,3.81,0.481,271,56,25.0,28,bad
5,industrial,CPIV02200,7.0,4.6,9,230000,5.67,0.33,265,45,20.0,36,bad
5,industrial,CPIV02200,7.1,1.1,20,1300000,7.46,1.47,302,30,21.0,21,bad
5,industrial,CPIV02200,7.2,2.6,16,1300000,7.62,0.742,352,68,22.2,26,bad
5,industrial,CPIV02200,7.2,2.2,15,17000,17.32,1.01,290,32,22.0,29,bad
5,industrial,CPIV02200,7.2,3.7,11,110000,3.6,0.414,336,120,27.0,29,bad
5,industrial,CPIV02200,7.0,2.5,11,2300,9.75,0.59,204,4,25.0,41,medium
5,industrial,CPIV02200,7.4,0.7,15,500000,8.86,0.636,301,19,24.0,24,bad
5,industrial,CPIV02200,7.4,0.3,23,1300000,20.06,1.54,329,34,20.0,18,very_bad
5,industrial,CPIV02200,7.2,1.1,14,17000,8.84,0.512,294,55,24.1,28,bad
5,industrial,CPIV02200,7.3,2.9,20,80000,3.45,0.469,353,150,23.0,26,bad
5,industrial,CPIV02200,6.9,1.4,7,13000,4.92,0.495,284,47,29.0,33,bad
5,industrial,CPIV02200,7.2,0.0,48,5000000,2.96,1.15,543,120,27.0,12,very_bad
5,industrial,CPIV02200,7.1,1.4,10,50000,5.31,0.389,286,35,21.0,30,bad
5,industrial,CPIV02200,7.1,0.5,16,800000,17.06,1.49,312,38,20.0,19,very_bad
5,industrial,CPIV02200,7.2,0.6,23,2400000,12.06,1.5,442,53,25.0,18,very_bad
5,industrial,CPIV02200,8.1,2.1,26,300000,1.26,0.855,395,25,24.0,25,bad
5,industrial,CPIV02200,8.2,2.6,6,11000,4.96,0.56,285,55,25.0,39,medium
5,industrial,CPIV02200,7.4,1.2,8,80000,7.95,0.785,286,28,28.0,30,bad
5,industrial,CPIV02200,7.3,0.6,12,8000,11.45,0.854,368,39,20.0,30,bad
5,industrial,CPIV02200,7.2,2.2,22,30000,10.4,0.854,401,88,21.0,23,bad
5,industrial,CPIV02200,7.2,0.0,34,500000,21.3,9.89,518,50,29.0,13,very_bad
5,industrial,CPIV02200,7.2,1.6,9,30000,7.23,0.149,411,99,27.0,33,bad
5,industrial,CPIV02200,7.2,0.9,7,130000,5.54,0.156,367,77,25.0,29,bad
5,industrial,CPIV02200,7.7,1.2,7,8000,8.46,0.651,370,16,28.0,34,bad
5,industrial,CPIV02200,7.5,1.3,13,17000,13.11,0.98,327,29,21.0,32,bad
5,industrial,CPIV02200,7.0,1.2,19,300000,21.35,0.998,426,32,21.0,22,bad
5,industrial,CPIV02200,7.0,0.2,19,1300000,13.31,1.1,1100,114,23.0,16,very_bad
5,industrial,CPIV02200,6.9,2.9,7,22000,2.19,0.311,465,142,25.0,33,bad
5,industrial,CPIV02200,7.2,1.8,6,49000,5.05,0.02,398,42,25.0,37,medium
5,industrial,CPIV02200,7.2,1.7,8,49000,8.38,0.345,318,41,22.5,33,bad
5,industrial,CPIV02200,7.2,0.2,37,790000,11.21,0.02,594,227,19.5,16,very_bad
5,industrial,CPIV02200,7.3,1.7,10,14000,3.67,0.269,344,23,18.0,34,bad
5,industrial,CPIV02200,7.0,3.5,6,33000,9.44,0.418,427,139,23.0,32,bad
5,industrial,CPIV02200,7.2,2.2,12,28000,12.8,0.2,390,45,25.0,38,medium
5,industrial,CPIV02200,7.2,2.1,9,22000,6.2,1.0,392,30,26.0,34,bad
5,industrial,CPIV02200,7.0,3.1,5,7900,5.9,0.8,379,33,23.0,39,medium
5,industrial,CPIV02200,6.9,1.5,29,130000,9.6,0.7,453,78,21.0,20,bad
5,industrial,CPIV02200,7.1,2.2,8,130000,4.78,1.0,372,27,20.0,30,bad
