Country;Area;Waterbody Type;Date;Ammonia (mg/l);Biochemical Oxygen Demand (mg/l);Dissolved Oxygen (mg/l);Orthophosphate (mg/l);pH (ph units);Temperature (cel);Nitrogen (mg/l);Nitrate (mg/l);CCME_Values;CCME_WQI
Canada;SE649035-145565;River;12/01/1974;0.059248;1.3;8.15;0.0119167;8.075;9.885;0.343917;1.173.155;100.0;Excellent
Canada;SE649035-145565;River;12/01/1975;0.03982071;1.38;7.8;0.00941667;773.333;10.15;0.449083;1.182.009;100.0;Excellent
Canada;SE649035-145565;River;12/01/1976;0.03134129;2.23;7.8;0.011;746.667;10.235;0.22075;1.487.472;100.0;Excellent
Canada;SE649035-145565;River;12/01/1977;0.02050071;1.61;8.15;0.0123333;778.333;11.116;0.57225;1.589.293;100.0;Excellent
Canada;SE649035-145565;River;12/01/1978;0.020022604;1.64;43.708;0.00618182;7.1;7.068;0.371091;1.522.888;100.0;Excellent
Canada;SE649035-145565;River;12/01/1979;0.03821071;1.46;9.824;0.00791667;803.333;9.815;0.274167;159.372;100.0;Excellent
Canada;SE649035-145565;River;12/01/1980;0.07448929;1.61;107.167;0.013;7.79;7.916;0.226917;2.248.916;100.0;Excellent
Canada;SE649035-145565;River;12/01/1981;0.04164529;1.36;11.684.103.383.014.400;0.0169167;7.72;110.354;0.382667;137.237;100.0;Excellent
Canada;SE649035-145565;River;12/01/1982;0.05270071;2.36;9.2;0.0135;7.9;112.686;0.312583;1.598.147;100.0;Excellent
Canada;SE649035-145565;River;12/01/1983;0.039459683;3.3;11.684.103.383.014.400;0.008;7.86;962.823;0.305727;1.766.373;100.0;Excellent
Canada;SE649035-145565;River;12/01/1984;0.05205671;1.86;0.0583333;0.0130833;7.68;10.852;0.241417;1.668.979;100.0;Excellent
Canada;SE649035-145565;River;12/01/1985;0.02082271;2.32;0.183333;0.00683333;713.333;10.65;0.418333;1.912.464;100.0;Excellent
Canada;SE649035-145565;River;12/01/1986;0.03885471;2.62;7.65;0.00875;7.68;8.069;0.336167;1.801.789;100.0;Excellent
Canada;SE649035-145565;River;12/01/1987;0.043148;58.166;8.57;0.0104546;631.667;7.737;0.134833;1.819.497;100.0;Excellent
Canada;SE649035-145565;River;12/01/1988;0.033166;35.217;8.42;0.0111667;668.333;8.469;0.408917;49.312.353;100.0;Excellent
Canada;SE649035-145565;River;12/01/1989;0.03713729;5.74;8.0;0.0155;906.667;16.8;0.243667;2.040.847;9.318.818.917.901.110;Good
Canada;SE649035-145565;River;12/01/1990;0.033488;36.692;11.0;0.0138182;8.7;112.381;0.215818;71.203.868;931.947.241.989.784;Good
Canada;SE649035-145565;River;12/01/1991;0.03456129;5.56;11.684.103.383.014.400;0.00775;8.4;16.456;0.2685;6.848.569;100.0;Excellent
Canada;LTR1;River;12/01/1992;0.292376;5.977;9.8;2.064;908.571;2.55;0.171273;3.059.057;5.346.405.349.825.260;Marginal
Canada;LI110048;River;12/01/1993;0.01288;524.545;9.61;0.05;741.429;12.0;0.193636;1.221.852;100.0;Excellent
Canada;LI110048;River;12/01/1994;0.01288;5.3;10.85;0.03;7.79;11.6;0.302833;79.686;100.0;Excellent
Canada;LTR1;River;12/01/1995;0.473984;5.133;10.7;0.039;5.22;12.0;0.356;2.009.858;100.0;Excellent
Canada;LI110048;River;12/01/1996;0.15456;52.884;9.824;0.02;8.38;12.0;0.3001;8.854;100.0;Excellent
Canada;LI110048;River;12/01/1997;0.02576;5.26;92.346;0.01;82.833;12.0;0.244167;92.967;100.0;Excellent
Canada;LI110048;River;12/01/1998;0.1288;3.832;93.885;0.02;80.862;12.0;0.39375;61.978;100.0;Excellent
Canada;LI110048;River;12/01/1999;0.1288;33.423;105.667;0.02;81.062;10.33;0.35425;115.102;100.0;Excellent
Canada;LI110048;River;12/01/2000;0.05152;39.076;11.684.103.383.014.400;0.01;8.37;10.0;0.241667;97.394;100.0;Excellent
Canada;LI110048;River;12/01/2001;0.0644;33.307;8.8;0.01;81.667;10.27;0.276;106.248;100.0;Excellent
Canada;LI110048;River;12/01/2002;0.07728;31.916;100.333;0.01;80.167;10.0;0.319;872.119;100.0;Excellent
Canada;LI110048;River;12/01/2003;0.09016;377.391;11.475;0.01;7.79;8.68;0.202;951.805;100.0;Excellent
Canada;LI110048;River;12/01/2004;0.10304;5.06;117.333;0.01;81.583;8.43;0.355;863.265;100.0;Excellent
Canada;LI110048;River;12/01/2005;0.10304;443.182;114.333;0.01;7.79;9.84;0.303;876.546;100.0;Excellent
Canada;LI110048;River;12/01/2006;0.10304;436.364;8.691;0.01;77.615;10.35;0.281;128.383;100.0;Excellent
Canada;LI110048;River;12/01/2007;0.11592;141.667;10.73;0.02;7.79;10.75;0.415;907.535;100.0;Excellent
Canada;LI110048;River;12/01/2008;0.1288;133.333;106.167;0.02;7.4;8.35;0.343;1.142.166;100.0;Excellent
Canada;LI110048;River;12/01/2009;0.07728;15.667;94.456;0.01;7.79;9.72;0.239;920.816;100.0;Excellent
Canada;LI110049;River;12/01/2010;0.07728;3.0;9.063;0.02;776.667;9.88;0.341;1.004.929;100.0;Excellent
Canada;LVV0130100;River;10/04/2010;0.094024;1.53;89.667;0.014;7.79;17.15;0.354;3.023.641;100.0;Excellent
Canada;RO24100;River;08/06/2010;0.0140392;2.31;11.684.103.383.014.400;0.061;832.727;12.5;0.4;583.682;9.311.672.543.579.720;Good
Canada;LI110048;River;12/01/2011;0.046368;1.85;101.042;0.012;761.944;7.7;0.323;5.825.932;100.0;Excellent
Canada;SE649583-127553;River;05/03/2011;0.097888;213.333;10.075;0.01;83.375;12.5;0.4;1.651.271;100.0;Excellent
Canada;RO90100;River;10/04/2011;0.11162671;1.9;69.743;0.01745;7.83;14.4;0.4;3.438.304.809;100.0;Excellent
Canada;LTR1;River;12/01/2012;0.04186;246.143;75.656;0.04175;820.833;102.667;0.333;410.050.875;100.0;Excellent
Canada;LVV0130100;River;10/04/2012;0.05581329;153.333;10.66;0.0106;7.79;12.0;0.4;2.331.554.809;100.0;Excellent
Canada;FISW_36;Lake;10/04/1978;0.1;213.333;86.694;0.0;7.79;9.0;0.0;0.0;100.0;Excellent
Canada;FISW_657;Lake;12/01/1980;0.065688;213.333;8.456;0.003;7.79;8.19;0.417;0.053124;100.0;Excellent
